platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake,username,username_length,digits_count,digit_ratio,special_char_count,repeat_char_count
Facebook,0,29,1,383,,0.571641791,2590,237,0.091470475,0.055520595,0.910990487,443,,112,1,0,0,mateo_6104,10,4,0.4,1,0
Instagram,1,24,0,,,0.596209913,2273,198,0.08707124,0.538135226,0.78786425,68,170,132,0,0,1,ygdec8648,9,4,0.444444444,0,0
Instagram,0,155,0,,677,0.598820059,2309,206,0.089177489,0.336088196,0.842241139,147,104,138,0,1,0,kojo,4,0,0,0,0
,,,0,,,0.585635359,1103,190,0.172101449,0.893104048,0.859008611,61,64,57,,0,0,daniel.9002,11,4,0.363636364,1,1
Facebook,,236,0,377,688,0.547169811,4793,206,,0.559233872,0.920528396,12,139,17,,0,0,olga,4,0,0,0,0
Instagram,1,247,0,378,734,0.514285714,811,185,0.227832512,0.759896329,0.235071233,185,,,0,0,0,john976,7,3,0.428571429,0,0
,0,111,1,,749,0.554666667,3764,,0.053917663,,0.458366031,164,151,92,1,0,0,layla_6615,10,4,0.4,1,1
Instagram,0,238,1,418,688,,4569,180,0.039387309,0.520320727,0.385197667,,129,149,0,0,0,jose_8799,9,4,0.444444444,1,1
Facebook,0,24,1,383,735,0.520380435,77,207,2.653846154,0.74472044,,258,174,55,0,0,1,h2ok9h2kuk,10,3,0.3,0,0
X,1,73,1,408,693,0.587896254,2310,208,0.090004327,,0.652283652,161,125,22,1,1,0,max_752,7,3,0.428571429,1,0
X,1,205,0,405,746,0.542168675,,230,0.223953262,,0.40180306,289,183,,0,0,0,camila3053,10,4,0.4,0,0
X,1,,0,401,679,0.589705882,2065,206,0.099709584,0.435804833,0.616330306,413,143,43,1,0,0,jose.5698,9,4,0.444444444,1,0
X,1,248,,398,678,0.586156112,4440,235,0.05291601,0.83850134,,420,161,,1,0,0,rahul8565,9,4,0.444444444,0,0
X,0,237,1,412,678,0.606774669,,190,0.069267226,0.563273558,,195,145,13,1,1,0,suresh6252,10,4,0.4,0,0
Instagram,0,57,0,386,663,0.581325301,,197,0.039854339,,0.353077178,33,28,136,1,,0,noah6802,8,4,0.5,0,0
X,0,,0,413,710,0.580872011,4000,191,0.047738065,0.179743152,0.803757056,159,181,74,0,,0,nikolai_4484,12,4,0.333333333,1,1
,,118,1,394,649,0.606153846,,187,0.057894737,0.495357842,0.601051036,,50,107,1,1,1,user_677528,11,6,0.545454545,1,1
X,0,126,1,383,665,0.575075075,4270,198,0.046359166,0.25240411,0.973997733,57,13,143,1,1,1,bot_gxtya,9,0,0,1,0
X,0,168,1,408,712,0.572230014,,219,0.061516854,0.955579878,,360,93,140,1,1,0,marco.3633,10,4,0.4,1,1
Facebook,1,24,0,393,692,0.567099567,846,176,0.207792208,0.490982085,0.485780608,407,57,35,0,0,0,ayanda8175,10,4,0.4,0,0
Instagram,1,77,0,,,0.574257426,693,,0.296829971,,0.242376335,264,,43,0,1,0,maria1052,9,4,0.444444444,0,0
X,0,98,1,394,699,0.562857143,4049,209,0.051604938,,0.673909111,296,136,99,1,,0,kojo5326,8,4,0.5,0,0
X,0,115,1,428,667,0.640718563,1333,177,0.132683658,,0.726646027,407,127,80,,,0,maria_8426,10,4,0.4,1,0
X,,47,0,375,645,0.580495356,3038,,,0.092162842,0.46417598,,36,13,0,1,0,yuki.3098,9,4,0.444444444,1,0
Instagram,1,,1,423,680,0.621145374,4333,214,0.049377019,0.893962225,,35,102,92,1,1,1,m008jb9okp,10,4,0.4,0,1
Facebook,1,9,0,425,643,0.659937888,1275,199,0.155956113,0.854351567,0.557238318,263,11,16,1,0,1,7zd0wxyndc,10,2,0.2,0,0
Instagram,1,98,1,380,688,0.551523948,1245,185,0.14847512,0.970861509,0.253829252,381,84,96,0,0,0,yuki693,7,3,0.428571429,0,0
,0,202,1,411,733,0.559945504,338,197,0.581120944,0.706465614,0.939998318,113,138,125,0,,0,luna_3990,9,4,0.444444444,1,1
X,0,10,,423,702,0.60170697,3295,183,0.055521845,,0.628884248,104,26,53,0,1,0,kwame,5,0,0,0,0
X,0,84,0,422,,0.607194245,,,0.662721893,0.923496638,0.291930962,92,87,125,,0,1,bot_z7d11,9,3,0.333333333,1,1
Instagram,0,148,0,429,673,0.636498516,1868,185,0.098983414,0.946393145,0.215730688,88,,129,1,1,0,max.8345,8,4,0.5,1,0
Instagram,0,213,1,441,668,0.659192825,4006,209,,0.877487843,,442,177,144,,0,0,camila.9414,11,4,0.363636364,1,0
Facebook,,172,0,383,738,0.51826793,495,192,0.387096774,0.861472844,0.70779328,162,97,22,0,0,1,acc_uzgajymr,12,0,0,1,1
,0,134,1,398,724,0.548965517,4643,,0.042635659,0.671703255,0.597132232,37,19,,0,1,0,ali.1382,8,4,0.5,1,0
Instagram,1,246,1,376,727,0.516483516,3887,198,0.050925926,0.001605947,0.614301025,91,140,11,1,1,1,i179kv0tn6,10,5,0.5,0,0
Facebook,0,208,0,387,746,0.518072289,161,184,,0.42951705,0.603869003,118,46,,0,0,0,satish_7595,11,4,0.363636364,1,0
Instagram,0,191,0,,724,0.59862069,2037,201,0.098626104,0.635662771,0.360103447,210,7,11,1,1,0,olga_6644,9,4,0.444444444,1,2
Facebook,0,125,0,392,706,0.554455446,,198,0.113597246,0.54712738,0.93741441,159,,56,1,1,0,sofia,5,0,0,0,0
Instagram,0,63,0,402,733,,1508,207,0.137176938,0.82112663,0.479278464,100,70,85,1,1,1,acc_q7ccbtp0,12,2,0.166666667,1,2
Instagram,0,1,1,407,753,0.539787798,3561,223,0.062605278,0.818902277,0.0203279,,63,17,0,0,1,ekjuu7879,9,4,0.444444444,0,1
,1,75,0,423,709,0.595774648,,202,0.146695715,0.598682009,0.348361342,178,43,102,0,0,1,bot_11nj8,9,3,0.333333333,1,1
,1,120,,438,661,0.66163142,1554,202,0.129903537,0.021994053,0.130282579,,11,82,1,0,0,binta_7415,10,4,0.4,1,0
Facebook,1,41,1,414,,0.571034483,2282,182,0.079719667,0.369329952,0.363383791,439,104,,0,0,1,user_414895,11,6,0.545454545,1,0
Facebook,0,209,1,389,661,0.587613293,1869,199,0.106417112,0.228816585,0.608262485,354,3,142,1,0,0,valentina7181,13,4,0.307692308,0,0
Instagram,0,53,1,,731,0.566939891,1602,203,0.126637555,0.338788109,,391,39,,1,0,0,tariq,5,0,0,0,0
Facebook,1,74,1,428,670,0.637853949,3828,214,0.055889266,0.617292655,,296,146,,0,0,1,acc_sop8g1pz,12,2,0.166666667,1,1
Facebook,0,,0,411,716,0.573221757,3481,196,0.056289489,0.066461903,0.610309118,373,,132,1,0,0,layla,5,0,0,0,0
Instagram,0,240,0,376,712,,1300,214,0.164488855,0.022242049,0.295371876,22,0,87,1,0,0,oliver,6,0,0,0,0
X,1,242,1,399,695,0.573275862,711,195,0.273876404,,0.311205174,437,118,7,0,0,0,yuki_9751,9,4,0.444444444,1,0
Instagram,,17,1,389,754,0.515231788,4168,223,0.053490046,0.793573832,0.465668177,487,140,146,1,1,0,sofia2697,9,4,0.444444444,0,0
Facebook,1,226,0,382,709,,2047,206,0.100585938,0.030698575,0.248091806,493,49,11,0,,0,anna410,7,3,0.428571429,0,1
Instagram,0,244,,439,750,0.584553928,2882,196,0.067984738,0.849048585,0.004341928,,180,71,0,0,0,mina_2070,9,4,0.444444444,1,0
X,1,186,0,,714,0.567832168,1818,173,0.095107202,0.383879633,0.026557448,31,169,135,1,1,0,alex2732,8,4,0.5,0,0
,0,89,0,425,704,0.602836879,2199,212,0.096363636,0.118235429,0.357740672,137,108,54,1,0,1,user_479126,11,6,0.545454545,1,0
Facebook,0,143,0,405,738,0.548037889,3333,185,0.055488902,0.567497729,,80,152,121,0,0,1,user_272629,11,6,0.545454545,1,0
,,5,1,397,728,,1104,206,0.186425339,0.952360561,0.022363675,,,92,1,1,0,daniel.518,10,3,0.3,1,0
Facebook,0,184,1,419,728,0.574759945,,199,0.062598301,,0.85926927,354,108,81,0,0,0,suresh,6,0,0,0,0
X,,107,1,412,,0.56207367,3595,224,,0.686634756,0.274137314,318,,46,1,1,0,yusuf2652,9,4,0.444444444,0,0
X,1,234,1,425,663,0.640060241,3475,198,0.056962025,0.816421287,0.503122577,194,188,107,,0,0,rahul.1127,10,4,0.4,1,1
,,174,0,401,700,0.572039943,,,0.040689226,0.799340122,0.179409084,291,80,34,1,0,0,yusuf6683,9,4,0.444444444,0,1
Instagram,1,238,1,398,663,0.59939759,2178,,0.087654888,0.073118729,0.046724972,,148,105,0,1,0,arjun_1120,10,4,0.4,1,1
,0,47,0,398,720,0.552011096,1195,218,,0.740995413,0.744866299,432,178,133,,0,0,amina_3518,10,4,0.4,1,0
Instagram,0,41,0,396,675,0.585798817,4502,207,0.045969354,0.949449566,0.124956855,45,75,136,1,1,0,olga.6329,9,4,0.444444444,1,0
Instagram,0,75,0,404,683,0.590643275,536,193,,0.700652234,0.025716902,26,79,39,0,0,0,valentina.7004,14,4,0.285714286,1,1
X,,187,0,380,699,0.542857143,1070,190,0.177404295,0.836442894,0.587230328,414,51,95,0,1,0,arjun.1777,10,4,0.4,1,1
Instagram,1,76,0,,691,,4370,220,,0.485549701,0.013467572,161,62,81,1,1,1,acc_4prozrea,12,1,0.083333333,1,1
X,0,131,0,,730,0.562243502,133,198,1.47761194,0.319069326,0.436285945,331,,36,1,0,1,acc_i9b0eo3q,12,3,0.25,1,1
X,1,230,0,378,695,0.543103448,264,219,0.826415094,0.676239223,0.288836048,100,181,139,1,0,0,jessica483,10,3,0.3,0,1
X,0,,1,392,664,0.589473684,4463,200,0.044802867,0.492199978,0.319417985,186,137,15,1,0,1,user_953800,11,6,0.545454545,1,1
Facebook,0,129,0,421,718,0.585535466,,217,0.105647517,,0.003899043,437,86,23,,,0,noah.8615,9,4,0.444444444,1,0
Facebook,0,,1,430,712,0.603085554,4947,196,0.039611964,0.974381969,0.96434608,472,110,144,1,1,1,5516io5cl1,10,6,0.6,0,1
Facebook,0,,,415,698,0.593705293,4090,210,0.051332193,0.819802068,0.516963102,193,58,114,1,0,1,user_917285,11,6,0.545454545,1,0
,1,154,0,407,674,0.602962963,2848,201,0.070551071,0.992679617,,157,7,94,0,1,0,dmitri,6,0,0,0,0
Facebook,1,26,0,400,706,0.565770863,358,201,0.559888579,0.348370598,0.666122485,,,3,1,1,0,jose9274,8,4,0.5,0,0
Facebook,1,,1,414,709,,4421,,0.044549977,0.895755379,0.797521791,456,132,49,0,1,0,amina5477,9,4,0.444444444,0,1
Instagram,1,71,1,447,728,0.613168724,751,218,,0.329933629,0.607909116,406,75,107,1,1,0,suresh_592,10,3,0.3,1,0
Facebook,0,6,1,406,,0.585014409,3251,198,0.060885609,0.118038075,0.762198105,8,169,101,,1,0,arjun,5,0,0,0,0
Facebook,1,,1,407,740,0.54925776,4352,208,0.047783138,0.621373695,,211,77,130,0,0,0,jessica_6736,12,4,0.333333333,1,1
X,1,110,0,413,744,0.554362416,2259,206,0.091150442,0.454988634,,,123,,1,0,0,ashley,6,0,0,0,0
,0,118,0,424,691,0.612716763,,197,0.216008772,0.921699233,0.823133907,384,11,11,0,1,1,5ctk7cy4w6,10,4,0.4,0,0
X,0,173,0,391,697,0.56017192,3811,236,0.061909759,0.492193888,0.865310524,311,23,65,1,0,1,jafo50gth5,10,3,0.3,0,0
X,0,62,1,400,681,0.586510264,584,200,0.341880342,0.927632579,0.13780667,166,44,92,0,1,0,chris8439,9,4,0.444444444,0,0
,0,231,0,403,667,0.603293413,3439,190,0.055232558,,,342,52,113,,1,0,binta,5,0,0,0,0
,1,123,1,394,683,0.576023392,577,191,0.330449827,0.830511836,0.68364243,273,180,17,0,0,0,diego_973,9,3,0.333333333,1,0
Facebook,1,11,0,,661,0.596676737,2577,207,0.080294802,0.759114268,0.083598737,,144,103,,1,0,ethan,5,0,0,0,0
X,0,140,1,359,739,0.485135135,1872,191,0.10197544,0.719978273,0.929596817,479,192,85,1,0,1,acc_uu40cbjl,12,2,0.166666667,1,2
X,0,42,0,392,,0.544444444,1153,214,0.185441941,0.355135855,0.520109773,110,,,0,0,0,luna,4,0,0,0,0
Instagram,0,16,0,409,695,0.587643678,4991,204,0.040865385,0.783759636,0.645457417,328,185,44,1,0,0,haruto.6772,11,4,0.363636364,1,1
Facebook,1,62,1,416,706,0.588401697,1784,215,0.120448179,0.483296579,0.178242748,202,36,142,,,0,max,3,0,0,0,0
Facebook,1,208,1,399,746,0.534136546,1094,190,0.173515982,,0.26443469,,,142,0,1,0,olga_1951,9,4,0.444444444,1,0
Facebook,0,119,1,387,714,,2100,,0.095668729,0.552227147,,64,,44,1,1,1,bot_z1tez,9,1,0.111111111,1,0
X,0,35,1,429,708,0.605077574,4533,197,0.043449493,0.157439705,0.263998722,202,197,99,,1,1,bot_7oafo,9,1,0.111111111,1,0
X,,212,1,398,737,0.539295393,2142,209,0.097526832,0.06455859,0.492396765,160,78,61,1,1,0,alex2397,8,4,0.5,0,0
X,0,7,,358,699,0.511428571,2134,186,0.087119438,0.366186651,0.833629599,413,167,83,0,1,0,suresh.1002,11,4,0.363636364,1,1
Instagram,0,68,1,,732,0.542974079,518,188,0.362235067,0.932788823,0.533723415,132,22,19,1,0,0,jose,4,0,0,0,0
,1,89,0,392,,0.604938272,742,195,0.262449529,0.529735021,0.244463598,177,,,0,1,1,smh0wdc55a,10,3,0.3,0,1
,0,207,,402,735,0.546195652,,201,0.081081081,,0.044621075,192,,,,0,1,yjsbh9308,9,4,0.444444444,0,0
Facebook,,35,0,419,,0.600286533,4959,184,,,0.621969836,265,127,107,0,,0,ashley,6,0,0,0,0
X,0,27,0,401,676,,2877,197,0.068450313,0.957905286,0.420159897,59,134,66,0,1,0,tariq1726,9,4,0.444444444,0,0
Instagram,,117,0,367,712,0.514726508,43,202,4.590909091,0.369455562,,204,36,46,0,0,1,user_505373,11,6,0.545454545,1,0
Instagram,1,92,1,432,753,0.572944297,3442,209,0.060702875,0.057050455,0.779759885,,143,117,1,1,0,amina_2324,10,4,0.4,1,0
X,1,174,1,386,,0.551428571,404,189,0.466666667,0.780668383,,71,37,53,,1,1,user_176944,11,6,0.545454545,1,1
Facebook,0,75,0,387,700,0.552068474,1327,231,0.173945783,0.705456508,0.012235023,155,98,,0,0,0,sofia.4853,10,4,0.4,1,0
Facebook,1,,0,402,,0.543978349,2217,,0.090171326,0.527534382,,172,167,136,0,0,0,kojo3107,8,4,0.5,0,0
Facebook,0,157,1,395,669,0.589552239,2150,171,0.079497908,0.326391243,0.194613311,307,28,94,1,1,0,dmitri,6,0,0,0,0
,0,150,1,415,,0.589488636,2394,183,0.076409186,0.188265148,,449,102,27,1,1,0,saif,4,0,0,0,0
Instagram,1,143,0,408,,0.595620438,,201,0.075791855,0.482276044,0.447421572,61,144,,0,0,0,mina,4,0,0,0,0
,0,,1,399,712,0.559607293,4538,185,0.040757876,0.666201409,0.571603851,372,147,,0,,1,rlfse5185,9,4,0.444444444,0,0
Instagram,0,201,1,,654,0.564885496,4346,,0.044398436,0.578886429,0.133443529,459,109,,0,0,0,ashley4347,10,4,0.4,0,0
Facebook,1,70,1,391,724,0.539310345,878,192,0.218430034,0.43749051,0.456891681,474,152,124,0,0,0,hans,4,0,0,0,0
X,1,236,0,,,0.587280108,1887,188,0.099576271,0.539694444,0.036944686,380,59,101,0,1,0,rahul_4465,10,4,0.4,1,1
Instagram,0,179,1,434,760,0.570302234,1304,197,0.150957854,0.10795493,0.040999348,204,165,1,0,0,0,noah,4,0,0,0,0
Instagram,1,123,0,401,705,0.567988669,1741,190,,0.695840104,0.657738131,59,62,130,1,1,0,ali9575,7,4,0.571428571,0,0
Facebook,1,124,0,419,,0.588483146,1113,201,0.18043088,0.734256044,0.951698373,,38,13,0,,0,michael,7,0,0,0,0
X,1,36,0,386,708,0.544428773,3877,199,,0.011452604,0.777392919,,125,98,0,0,1,bjqyt1626,9,4,0.444444444,0,0
X,1,28,,401,700,0.572039943,,,0.118947368,0.270519556,0.469155781,142,191,67,1,1,0,lucas.8578,10,4,0.4,1,0
Facebook,0,194,0,377,702,0.536273115,,192,0.771084337,0.09211686,0.05587074,350,82,46,1,1,0,anastasia_8170,14,4,0.285714286,1,0
Facebook,0,142,1,426,684,0.62189781,3261,190,0.058246475,,0.045020149,6,20,93,1,1,0,olga_5942,9,4,0.444444444,1,0
X,0,227,0,427,708,0.6022567,,,0.370826011,,0.157892261,294,31,,0,0,1,ir6blfux5y,10,2,0.2,0,0
Instagram,1,174,0,378,677,0.557522124,3810,173,0.045394909,0.465738094,0.975810504,,,47,1,0,1,acc_g0u8bw9l,12,3,0.25,1,1
X,1,173,0,398,741,0.53638814,1189,214,0.179831933,0.463001019,0.398661066,178,,76,0,1,1,owj2bvd0pp,10,2,0.2,0,1
Facebook,1,179,,419,672,0.622585438,2596,207,0.079707355,,0.843407292,,11,124,1,1,0,maria.6609,10,4,0.4,1,1
Instagram,,18,1,441,683,0.644736842,1354,220,0.162361624,0.659855638,0.705142439,6,120,112,1,0,0,marco2328,9,4,0.444444444,0,0
Instagram,1,204,1,381,691,0.550578035,,201,0.055617045,,0.605428659,139,110,9,,0,0,kwame1866,9,4,0.444444444,0,1
Facebook,1,105,1,371,722,0.513139696,981,220,0.224032587,0.448158828,0.947826112,13,78,134,,1,0,pablo,5,0,0,0,0
Facebook,1,20,1,381,682,0.557833089,4966,,0.038655124,0.774196841,0.230411571,33,91,115,1,1,0,maria.8883,10,4,0.4,1,1
Facebook,0,63,1,371,706,0.524752475,,187,1.1,0.423350067,0.454889662,,119,16,,1,0,jessica_9956,12,4,0.333333333,1,2
X,0,164,1,409,727,0.561813187,3165,,0.068856601,0.309533426,0.864722966,422,,21,,,0,amina,5,0,0,0,0
X,1,26,0,412,773,0.532299742,2672,196,0.073325851,0.991216077,0.551761308,239,79,58,0,0,0,anna,4,0,0,0,1
Instagram,1,54,0,372,687,0.540697674,379,194,0.510526316,0.935637135,0.24644514,328,150,43,0,0,1,acc_h154c674,12,6,0.5,1,1
,1,243,1,374,705,0.529745042,1933,185,,0.941560369,,319,14,10,0,1,0,layla,5,0,0,0,0
Instagram,0,28,0,415,734,0.56462585,194,189,0.969230769,0.13167253,0.752881001,96,100,41,0,0,0,mina7678,8,4,0.5,0,0
Instagram,,147,0,391,727,,264,195,0.735849057,0.234255257,0.012788894,267,,22,0,1,1,acc_74v99zyh,12,4,0.333333333,1,2
Instagram,,24,1,405,678,0.59646539,,195,0.132382892,0.442066958,0.914192077,125,131,117,1,0,0,amina7557,9,4,0.444444444,0,1
Instagram,1,69,0,,714,0.53986014,2016,177,0.08775409,0.832129258,0.018417988,33,34,,,0,1,acc_kfyzjibj,12,0,0,1,1
Facebook,0,62,0,418,714,0.584615385,4617,204,0.044174968,0.73682754,0.630989047,282,94,110,0,1,0,arjun,5,0,0,0,0
Instagram,0,163,1,411,725,0.566115702,1301,197,,0.849667395,0.604747961,405,188,53,1,0,0,dmitri,6,0,0,0,0
Facebook,0,129,0,404,713,0.565826331,3201,201,0.062773267,0.920763291,0.578411151,17,26,81,1,1,1,bot_3h7bc,9,2,0.222222222,1,0
Facebook,0,,1,386,754,0.511258278,3374,183,0.054222222,,0.474343051,429,124,118,0,0,1,7fcdbpbrll,10,1,0.1,0,1
X,1,223,1,426,714,0.595804196,574,181,0.314782609,0.26177001,0.852430333,427,160,108,0,0,1,bot_2g8y6,9,3,0.333333333,1,0
Facebook,0,15,0,403,734,0.54829932,1538,204,0.132553606,0.285445682,0.65933287,401,12,111,,0,0,pablo,5,0,0,0,0
X,0,,,396,,0.569784173,1384,189,0.136462094,0.352487682,0.781862281,292,,,1,1,0,michael5508,11,4,0.363636364,0,1
Facebook,1,196,0,420,762,,1381,188,0.136034732,0.303075367,0.115521806,390,171,,0,0,0,ali,3,0,0,0,0
Facebook,0,181,1,398,694,0.572661871,3538,187,0.052839785,0.24909895,0.049898637,67,1,106,0,0,0,tariq.1475,10,4,0.4,1,0
Facebook,0,99,1,406,679,0.597058824,3160,201,0.063587472,0.75248606,,236,165,26,0,1,1,lcahg2663,9,4,0.444444444,0,1
X,0,29,1,,689,0.620289855,1524,184,0.120655738,0.033991051,,79,36,114,1,,0,ahmed4990,9,4,0.444444444,0,1
X,1,44,,396,713,0.554621849,,213,,0.728393738,0.66700789,,186,73,1,0,1,acc_a4pskw1j,12,2,0.166666667,1,1
Instagram,0,18,0,395,673,0.586053412,4613,196,0.04247941,0.823563772,0.494021756,59,,91,1,1,0,priya.710,9,3,0.333333333,1,0
X,1,214,1,404,696,,3933,189,0.048042705,0.066044043,0.752252256,,119,84,0,0,0,valentina,9,0,0,0,0
X,1,33,0,422,698,0.603719599,3623,202,0.055739514,0.061847107,0.191730337,178,68,115,,0,0,jessica.6904,12,4,0.333333333,1,1
X,0,140,0,398,688,0.577648766,896,231,0.257525084,0.285463803,0.366963042,355,17,74,0,1,1,acc_q5oudo09,12,3,0.25,1,1
,0,170,1,430,677,0.634218289,3394,212,0.062444772,0.208306816,0.888497549,83,47,,,0,1,ufcyr6513,9,4,0.444444444,0,0
Instagram,0,61,,385,697,,465,183,0.392703863,0.581133674,0.935714546,94,,82,1,,1,bluso6834,9,4,0.444444444,0,0
X,0,,,420,682,0.614934114,1611,192,0.1191067,,0.921729155,307,65,137,,1,1,user_202292,11,6,0.545454545,1,1
Facebook,1,220,1,380,720,,613,203,0.330618893,0.634141996,0.818305044,251,176,14,1,0,1,acc_yboocht6,12,1,0.083333333,1,2
,0,99,0,417,712,0.584852735,3213,200,0.062227754,0.35734737,0.688235879,480,105,44,0,0,1,user_568582,11,6,0.545454545,1,0
X,0,21,1,414,712,,605,177,,0.498397835,0.913677894,332,57,81,0,,0,sofia.8755,10,4,0.4,1,1
,0,179,1,,672,0.585438336,621,221,0.355305466,0.63999083,0.714181592,,162,6,1,1,0,ashley_6103,11,4,0.363636364,1,0
Facebook,1,179,1,384,754,0.508609272,2603,182,0.069892473,0.119426269,,83,77,77,0,1,0,suresh,6,0,0,0,0
,0,,,388,708,0.547249647,2184,197,0.090160183,0.229511914,0.024788332,309,185,29,1,1,1,user_011398,11,6,0.545454545,1,1
Instagram,0,163,0,399,687,0.57994186,3801,182,0.047869542,0.890496154,0.921642086,424,6,117,1,,1,user_970660,11,6,0.545454545,1,1
Facebook,1,72,1,412,744,0.553020134,156,181,1.152866242,0.342326377,0.555740536,425,102,48,0,0,0,ananya_7223,11,4,0.363636364,1,1
,1,230,1,402,734,0.546938776,3354,212,0.06318927,0.801156382,0.111797752,485,108,,0,0,1,acc_nwm4rq3v,12,2,0.166666667,1,1
X,0,242,1,407,697,0.583094556,3912,208,0.053156146,0.250989752,0.21491127,149,8,80,0,1,1,user_667913,11,6,0.545454545,1,1
Facebook,0,146,0,,728,0.55829904,2918,196,0.067146283,0.041640352,0.852159284,38,68,29,0,1,0,max,3,0,0,0,0
,0,37,1,,754,0.504635762,3118,164,0.052580955,0.500400592,0.506116955,278,131,2,0,1,0,ali5,4,1,0.25,0,0
Facebook,0,69,1,432,712,0.605890603,2716,187,,0.892482044,0.982817723,303,159,,0,0,1,acc_vl93pxr5,12,3,0.25,1,1
X,0,,,,688,0.563134978,4340,216,0.04975812,0.819284549,0.11753111,112,132,29,0,0,0,ethan,5,0,0,0,0
X,,238,1,433,720,,,206,0.456762749,0.252939169,0.412503464,375,55,53,0,0,1,user_247771,11,6,0.545454545,1,1
Facebook,1,78,,421,727,0.578296703,4850,203,0.041847042,0.909935774,0.331874443,416,55,,0,0,0,nikolai.4597,12,4,0.333333333,1,0
X,0,184,0,416,695,,4502,203,,0.479715895,0.516135436,126,43,,0,1,1,ydyql6f30w,10,3,0.3,0,0
Instagram,,,1,437,727,0.600274725,3962,181,0.04567247,,0.633437819,40,71,99,0,,1,user_005456,11,6,0.545454545,1,1
Instagram,,8,,383,737,0.51897019,1070,219,0.204481793,0.02792462,0.661629469,157,140,84,1,0,1,izv9mj8y9p,10,3,0.3,0,0
Facebook,0,,0,379,704,0.537588652,4018,206,0.051256531,0.485113734,0.00129588,205,131,134,0,1,0,binta_6292,10,4,0.4,1,0
Facebook,0,131,0,402,629,0.638095238,4845,195,0.040239373,0.546322856,0.088960434,46,179,,0,1,1,acc_2x21j2sv,12,4,0.333333333,1,1
Facebook,0,49,1,387,655,0.589939024,,193,0.053715558,0.079912921,0.035063834,483,14,85,,0,1,user_826609,11,6,0.545454545,1,1
X,0,81,0,424,703,0.602272727,2820,209,0.074087203,0.922240654,0.864599146,184,119,62,1,0,0,ayanda,6,0,0,0,0
,0,4,0,407,682,0.595900439,2286,,0.10056843,0.718216828,,71,109,,0,0,1,user_625549,11,6,0.545454545,1,1
,1,147,0,,687,0.563953488,2036,,0.098183603,0.801282358,0.367063442,,81,137,1,1,0,lucas,5,0,0,0,0
X,0,86,1,395,698,0.56509299,1191,224,0.187919463,0.584023251,,238,,48,1,1,0,mia1009,7,4,0.571428571,0,1
Instagram,0,125,1,382,707,0.539548023,1400,203,0.144896502,0.663544076,0.849304397,61,0,120,0,1,0,rahul7314,9,4,0.444444444,0,0
Facebook,0,74,0,395,657,0.600303951,3741,189,0.05050775,0.38786023,0.014166261,341,192,,0,1,0,tao_3605,8,4,0.5,1,0
Facebook,1,164,0,405,705,0.573654391,2249,227,0.100888889,0.679297085,,56,138,33,0,,0,mateo_3678,10,4,0.4,1,0
,,21,1,365,687,0.530523256,2794,197,0.070483005,0.978182891,0.685163122,451,188,,1,0,1,eyrsx3664,9,4,0.444444444,0,1
Instagram,1,185,1,369,699,0.527142857,,224,0.308965517,,,242,92,9,1,0,0,saif.8363,9,4,0.444444444,1,0
,,,0,392,700,0.559201141,1442,199,0.137907138,0.341633723,0.642786421,482,87,8,1,0,1,acc_w60ii3a3,12,4,0.333333333,1,2
X,0,220,0,394,741,0.530997305,4821,187,0.038780589,0.285239122,0.261123468,327,83,95,,0,0,yumi989,7,3,0.428571429,0,0
X,1,43,1,417,718,0.579972184,87,203,,0.963345941,0.519864429,481,190,132,0,0,0,kiran.4190,10,4,0.4,1,0
Instagram,,33,1,435,682,0.636896047,4150,200,0.048181161,0.185002297,0.974980476,123,165,,1,0,0,anastasia.2323,14,4,0.285714286,1,0
X,0,76,0,399,706,0.564356436,1752,218,0.124358243,0.806196612,0.528076547,469,196,41,1,0,1,user_746045,11,6,0.545454545,1,0
X,1,41,1,394,707,,3421,197,0.057568673,0.465262292,0.37350763,,44,79,1,1,0,binta.3188,10,4,0.4,1,1
Instagram,1,136,0,416,700,0.593437946,4838,206,0.042570779,,0.383425555,254,,90,1,0,0,luna1968,8,4,0.5,0,0
,1,105,0,435,723,0.600828729,2484,224,0.090140845,0.747537788,,216,197,147,0,1,1,bot_nte76,9,2,0.222222222,1,0
Facebook,1,,0,400,700,0.570613409,3213,207,0.064405725,,0.718916527,,67,0,0,0,0,liwei_5324,10,4,0.4,1,0
Facebook,1,134,,385,735,0.523097826,3923,225,0.05733945,0.466295926,0.687172856,231,3,10,1,0,0,layla8733,9,4,0.444444444,0,1
Instagram,0,67,0,391,713,0.547619048,2490,178,0.071457246,,0.232054322,16,198,,0,1,0,anna.6850,9,4,0.444444444,1,1
,,,0,394,689,0.571014493,1487,195,,0.670406822,0.559484638,79,,78,1,1,1,bnfw1czxct,10,1,0.1,0,0
Facebook,1,233,1,434,,0.638235294,3528,203,0.057523378,0.058377284,0.356745199,495,96,103,1,0,0,kwame_8699,10,4,0.4,1,1
Facebook,1,221,1,398,650,0.611367127,73,,2.891891892,,0.240201526,175,136,47,0,0,1,m2w94vdek9,10,4,0.4,0,0
